,userid,number_of_courses,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt
11844,15661.0,7.0,76.29285714285713,5.142857142857143,0.5714285714285714,4.571428571428571,2.2857142857142856,0.5714285714285714,0.4285714285714285,1.0,0.8571428571428571,0.0,15.714285714285714,0.0,0.0,0.2857142857142857,0.0,0.1428571428571428,0.0,0.0
11845,15662.0,7.0,44.142857142857146,1.2857142857142858,0.0,1.2857142857142858,0.1428571428571428,0.0,0.0,0.0,1.1428571428571428,0.0,3.7142857142857135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11846,15663.0,7.0,76.85714285714286,5.0,1.1428571428571428,3.857142857142857,2.2857142857142856,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.0,17.142857142857142,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0
11847,15664.0,7.0,74.60714285714286,2.857142857142857,0.7142857142857143,2.142857142857143,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.8571428571428571,1.1428571428571428,0.0,14.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0
11848,15665.0,7.0,75.75,3.0,0.2857142857142857,2.7142857142857144,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.7142857142857143,1.5714285714285714,0.0,18.857142857142858,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0
11849,15666.0,8.0,66.7625,3.875,0.75,3.125,0.875,0.5,1.0,1.375,0.125,0.0,19.875,0.0,0.375,0.125,0.0,0.0,0.0,0.0
11850,15667.0,7.0,73.97857142857143,5.714285714285714,1.7142857142857142,4.0,1.0,1.4285714285714286,0.7142857142857143,1.1428571428571428,1.1428571428571428,0.2857142857142857,17.857142857142858,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.0
11851,15668.0,7.0,74.07857142857142,11.142857142857142,3.142857142857143,8.0,5.428571428571429,1.4285714285714286,0.8571428571428571,3.2857142857142856,0.0,0.1428571428571428,42.71428571428572,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0
11852,15669.0,7.0,78.85714285714286,6.142857142857143,2.0,4.142857142857143,2.571428571428572,1.2857142857142858,0.5714285714285714,1.5714285714285714,0.0,0.1428571428571428,24.857142857142858,0.0,0.2857142857142857,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0
11853,15670.0,7.0,76.46428571428571,3.571428571428572,1.1428571428571428,2.4285714285714284,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.4285714285714286,0.2857142857142857,0.1428571428571428,6.571428571428571,0.0,0.0,0.4285714285714285,0.0,0.0,0.0,0.0
11854,15671.0,7.0,78.32142857142857,9.714285714285714,3.142857142857143,6.571428571428571,1.0,3.0,0.7142857142857143,3.0,1.5714285714285714,0.4285714285714285,59.42857142857143,0.0,0.0,0.0,0.0,2.7142857142857144,1.1428571428571428,1.4285714285714286
11855,15672.0,8.0,73.775,6.0,0.625,5.375,0.75,2.25,0.5,1.75,0.5,0.25,22.0,0.0,0.125,1.5,0.25,0.25,0.125,0.125
11856,15674.0,7.0,65.52857142857142,11.571428571428571,2.571428571428572,9.0,4.285714285714286,2.4285714285714284,2.142857142857143,2.2857142857142856,0.1428571428571428,0.2857142857142857,42.42857142857143,0.0,0.1428571428571428,0.2857142857142857,0.0,4.285714285714286,0.8571428571428571,7.0
11857,15675.0,2.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11858,15676.0,7.0,73.63571428571429,5.285714285714286,0.4285714285714285,4.857142857142857,1.2857142857142858,1.7142857142857142,0.7142857142857143,1.2857142857142858,0.2857142857142857,0.0,24.714285714285715,0.0,0.0,0.0,0.1428571428571428,3.4285714285714284,0.5714285714285714,3.857142857142857
11859,15677.0,6.0,78.0,10.666666666666666,2.333333333333333,8.333333333333334,2.0,2.0,2.1666666666666665,3.0,1.0,0.5,41.5,0.0,0.0,0.5,0.0,4.166666666666667,1.3333333333333333,12.5
11860,15678.0,7.0,80.87571428571428,17.714285714285715,4.285714285714286,13.428571428571429,4.285714285714286,2.857142857142857,1.7142857142857142,7.0,0.7142857142857143,1.1428571428571428,48.142857142857146,0.0,0.0,0.8571428571428571,0.0,0.4285714285714285,0.0,0.0
